word,meaning_bn,meaning_en,example,part_of_speech,phonetic,level
action,কর্ম,Something done so as to accomplish a purpose.,,noun,/ˈæk.ʃən/,
active,সক্রিয়,A person or thing that is acting or capable of acting.,,noun,/ˈæk.tɪv/,
activist,কর্মী,"One who is politically active in the role of a citizen; especially, one who campaigns for change.",,noun,/ˈæk.tɪ.vɪst/,
activity,কার্যকলাপ,The state or quality of being active; activeness.,Pit row was abuzz with activity.,noun,/ækˈtɪ.və.ti/,
actor,অভিনেতা,"A person who performs, plays a part in a theatrical play or film.",,noun,/ˈæk.tə/,
actress,অভিনেত্রী,A female who performs on the stage or in films.,,noun,/ˈak.tɹəs/,
actual,প্রকৃত,"An actual, real one; notably:",,noun,/ˈak(t)ʃj(ʊ)əl/,
actually,আসলে,(modal) In act or in fact; really; in truth; positively.,"Actually, I had nothing to do with that incident.",adverb,/-ɪ/,
ad,বিজ্ঞাপন,Advertisement.,I have placed both of the ads in the newspaper as instructed.,noun,/æd/,
adapt,মানিয়ে নেওয়া,To make suitable; to make to correspond; to fit or suit,,verb,/əˈdæpt/,
add,যোগ করুন,An act or instance of adding.,,noun,/æd/,
add up,যোগ করুন,To take a sum.,Add up the prices and find out how much it will cost.,verb,,
addition,সংযোজন,The act of adding anything.,The addition of five more items to the agenda will make the meeting unbearably long.,noun,/æˈdɪʃən/,
additional,অতিরিক্ত,Something added.,,noun,/əˈdɪʃənəl/,
address,ঠিকানা,Direction.,,noun,/æˈdɹɛs/,
adequate,পর্যাপ্ত,To equalize; to make adequate.,,verb,,
adjust,সামঞ্জস্য করা,To modify.,Morimoto's recipes are adjusted to suit the American palate.,verb,/əˈdʒʌst/,
administration,প্রশাসন,"The act of administering; government of public affairs; the service rendered, or duties assumed, in conducting affairs; the conducting of any office or employment; direction.",,noun,/ədˌmɪnəˈstɹeɪʃən/,
admiration,প্রশংসা,A positive emotion including wonder and approbation; the regarding of another as being wonderful,They looked at the landscape in admiration.,noun,/ˌæd.mɚˈeɪʃ.ən/,
admire,প্রশংসা করা,To be amazed at; to view with surprise; to marvel at.,,verb,/ədˈmaɪə/,
admit,স্বীকার করা,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration",A ticket admits one into a playhouse.,verb,/ədˈmɪt/,
adopt,গ্রহণ,"To take by choice into relationship (a child, heir, friend, citizen, etc.)",,verb,/əˈdɒpt/,
adult,প্রাপ্তবয়স্ক,A fully grown human or animal.,,noun,/əˈdʌlt/,
advance,অগ্রিম,A forward move; improvement or progression.,an advance in health or knowledge,noun,/ədˈvaːns/,
advanced,উন্নত,To promote or advantage.,,verb,/ədˈvɑːnst/,
advantage,সুবিধা,"Any condition, circumstance, opportunity or means, particularly favorable to success, or to any desired end.",The enemy had the advantage of a more elevated position.,noun,/ədˈvɑːn.tɪdʒ/,
adventure,অ্যাডভেঞ্চার,"The encountering of risks; a bold undertaking, in which dangers are likely to be encountered, and the issue is staked upon unforeseen events; a daring feat.",,noun,/ædˈvɛnt͡ʃɚ/,
advertise,বিজ্ঞাপন,To give (especially public) notice of (something); to announce publicly.,,verb,/ˈadvə(ɹ)taɪz/,
advertisement,বিজ্ঞাপন,"A commercial solicitation designed to sell some commodity, service or similar.","Companies try to sell their products using advertisements in form of placards, television spots and print publications.",noun,/ədˈvɜːtɪsmənt/,
advertising,বিজ্ঞাপন,To give (especially public) notice of (something); to announce publicly.,,verb,/ˈædvə(ɹ)ˌtaɪzɪŋ/,
advice,উপদেশ,An opinion offered in an effort to be helpful.,She was offered various piece of advice on what to do with her new-found wealth.,noun,/ədˈvaɪs/,
advise,পরামর্শ,"To give advice to; to offer an opinion to, as worthy or expedient to be followed.",The dentist advised me to brush three times a day.,verb,/ədˈvaɪz/,
affair,ব্যাপার,"(often in the plural) Something which is done or is to be done; business of any kind, commercial, professional, or public.",a difficult affair to manage,noun,/əˈfɛə/,
affect,প্রভাবিত,To influence or alter.,The experience affected me deeply.,verb,/əˈfɛkt/,
affection,স্নেহ,The act of affecting or acting upon.,,noun,/əˈfɛkʃən/,
afford,সামর্থ্য,"To incur, stand, or bear without serious detriment, as an act which might under other circumstances be injurious;—with an auxiliary, as can, could, might, etc.; to be able or rich enough.",I think we can afford the extra hour it will take.  We can only afford to buy a small car at the moment.,verb,/əˈfɔːd/,
afraid,ভীত,"(usually used predicatively, not attributively, be afraid) Impressed with fear or apprehension; in fear.",He is afraid of death.,adjective,/əˈfɹeɪd/,
after,পরে,"Later; second (of two); next, following, subsequent",,adjective,/ˈæf.tə(ɹ)/,
afternoon,বিকেল,"The part of the day from noon or lunchtime until sunset, evening, or suppertime or 6pm.",,noun,/af.təɾˈnʉːn/,
afterward,পরে,(temporal location) At a later or succeeding time.,,adverb,/ˈɑːftə.wəd/,
again,আবার,Another time; once more.,,adverb,/əˈɡeɪn/,
against,বিরুদ্ধে,In a contrary direction to.,It is hard work to swim against the current.,preposition,/əˈɡeɪnst/,
age,বয়স,"The whole duration of a being, whether animal, plant, or other kind, being alive.",,noun,/eɪd͡ʒ/,
aged,বৃদ্ধ,To cause to grow old; to impart the characteristics of age to.,Grief ages us.,verb,/eɪdʒd/,
agency,সংস্থা,"The capacity, condition, or state of acting or of exerting power.",,noun,/ˈeɪ.dʒən.si/,
agenda,এজেন্ডা,A temporally organized plan for matters to be attended to.,,noun,/əˈdʒɛn.də/,
agent,এজেন্ট,"One who exerts power, or has the power to act",,noun,/ˈeɪ.dʒənt/,
aggressive,আক্রমণাত্মক,Characterized by aggression; unjustly attacking; prone to behave in a way that involves attacking or arguing.,"an aggressive policy, war, person, nation",adjective,/əˈɡɹɛs.ɪv/,
ago,আগে,Gone; gone by; gone away; passed; passed away.,in days ago/in days agone,adjective,/əˈɡəʊ/,
agree,একমত,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur.",all parties agree in the expediency of the law.,verb,/əˈɡɹi/,
agreement,চুক্তি,An understanding between entities to follow a specific course of conduct.,to enter an agreement;  the UK and US negotiators nearing agreement;  he nodded his agreement.,noun,/əˈɡɹiːmənt/,
ahead,এগিয়ে,In or to the front; in advance; onward.,,adverb,/əˈhɛd/,
aid,সাহায্য,"Help; assistance; succor, relief.",He came to my aid when I was foundering.,noun,/eɪd/,
aim,লক্ষ্য,"The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck; the line of fire; the direction of anything, such as a spear, a blow, a discourse, a remark, towards a particular point or object, with a view to strike or affect it.",Take time with the aim of your gun.,noun,/eɪm/,
air,বায়ু,"The substance constituting earth's atmosphere, particularly:",I'm going outside to get some air.,noun,/ˈɛə/,
aircraft,বিমান,"A vehicle capable of atmospheric flight due to interaction with the air, such as buoyancy or lift",,noun,/ɛə.kɹɑːft/,
airport,বিমানবন্দর,"An airfield (an area designated for the takeoff and landing of aircraft), including one or more runways and (for commercial airports) one or more passenger terminals.","Because of this, and contrary to popular belief, British airports primarily act as giant wealth extractors, transporting our richest citizens out of the country as often as possible to take their money overseas. ― The Independent, Heathrow expansion to mainly benefit wealthy frequent fliers, research finds, 23 june 2018.",noun,/ˈɛə.pɔːt/,
alarm,এলার্ম,"A summons to arms, as on the approach of an enemy.",,noun,/əˈlɑːm/,
alarmed,শঙ্কিত,To call to arms for defense,,verb,/əˈlɑːmd/,
alarming,উদ্বেগজনক,To call to arms for defense,,verb,/ə.ˈlɑːm.ɪŋ/,
alcohol,অ্যালকোহল,Any of a class of organic compounds (such as ethanol) containing a hydroxyl functional group (-OH).,,noun,/ˈæl.kə.hɒl/,
alcoholic,মদ্যপ,A person addicted to alcohol.,,noun,/ˌælkəˈhɒlɪk/,
alive,জীবিত,Having life; living; not dead,"As long as the plant is alive, he will continue to water it.",adjective,,
all,সব,(with a possessive pronoun) Everything that one is capable of.,"She gave her all, and collapsed at the finish line.",noun,/ɔːl/,
allied,মিত্র,Joined as allies.,,adjective,/əˈlaɪd/,
allow of,অনুমতি দেয়,,,,,
ally,মিত্র,"A person, group, or state (etc) which is associated with another for a common cause; one united to another by treaty or common purpose; a confederate.",the two countries were allies in WWI,noun,,
almost,প্রায়,Something or someone that doesn't quite make it.,"In all the submissions, they found four papers that were clearly worth publishing and another dozen almosts.",noun,/ɔːl.ˈməʊst/,
alone,একা,"By oneself, solitary.",I can't ask for help because I am alone.,adjective,/əˈləʊn/,
along,বরাবর,In company; together.,John played the piano and everyone sang along.,adverb,/əˈlɑŋ/,
alongside,পাশাপাশি,Along the side; by the side; side by side with.,Ahoy! Bring your boat alongside mine.,adverb,/ə.lɒŋˈsaɪd/,
aloud,জোরে,Spoken out loud.,,adjective,/əˈlaʊd/,
alphabet,বর্ণমালা,The set of letters used when writing in a language.,"In the first year of school, pupils are taught to recite the alphabet.",noun,/ˈæl.fə.bɛt/,
alphabetical,বর্ণানুক্রমিক,"Pertaining to, furnished with, or expressed by letters of the alphabet.",,adjective,/ˌæl.fəˈbɛt.ɪ.kəl/,
already,ইতিমধ্যে,"Prior to some specified time, either past, present, or future; by this time; previously.",,adverb,/ɑlˈɹɛdi/,
also,এছাড়াও,(focus) In addition; besides; as well; further; too.,"They had porridge for breakfast, and also toast.",adverb,/ˈɔːl.səʊ/,
alter,পরিবর্তন,To change the form or structure of.,,verb,/ˈɑl.tɚ/,
alternative,বিকল্প,A situation which allows a mutually exclusive choice between two or more possibilities; a choice between two or more possibilities.,,noun,/ɒl.ˈtɜː(ɹ).nə.tɪv/,
alternatively,বিকল্পভাবে,In an alternative way,,adverb,,
although,যদিও,"Though, even though, in spite of or despite the fact that: introducing a clause that expresses a concession.","Although it was very muddy, the football game went on.",conjunction,/ɔːlˈðəʊ/,
altogether,সব মিলিয়ে,Without exception; wholly; completely.,,adverb,/ɔː.tuːˈɡɛð.ə(ɹ)/,
always,সবসময়,At all times; throughout all time; since the beginning.,Airplanes did not always exist as a form of transportation.,adverb,/ˈɔː(l).weɪz/,
amaze,বিস্মিত,"Amazement, astonishment.",,noun,/əˈmeɪz/,
amazed,বিস্মিত,"To fill with wonder and surprise; to astonish, astound, surprise or perplex.",He was amazed when he found that the girl was a robot.,verb,/əˈmeɪzd/,
amazing,আশ্চর্যজনক,"To fill with wonder and surprise; to astonish, astound, surprise or perplex.",He was amazed when he found that the girl was a robot.,verb,/əˈmeɪzɪŋ/,
ambition,উচ্চাকাঙ্ক্ষা,"Eager or inordinate desire for some object that confers distinction, as preferment, honor, superiority, political power, or literary fame; desire to distinguish one's self from other people.","My son, John, wants to be a firefighter very much. He has a lot of ambition.",noun,/æmˈbɪ.ʃən/,
ambulance,অ্যাম্বুলেন্স,An emergency vehicle designed for transporting seriously ill or injured people to a hospital.,,noun,/ˈæm.bjə.ləns/,
among,মধ্যে,Denotes a mingling or intermixing with distinct or separable objects. (See Usage Note at amidst.),How can you speak with authority about their customs when you have never lived among them?,preposition,/əˈmɒŋ/,
amount,পরিমাণ,"The total, aggregate or sum of material (not applicable to discrete numbers or units or items in standard English).",The amount of atmospheric pollution threatens a health crisis.,noun,/əˈmaʊnt/,
amuse,বিনোদন,To entertain or occupy in a pleasant manner; to stir with pleasing emotions.,I watch these movies because they amuse me.,verb,/əˈmjuːz/,
amused,আনন্দিত,To entertain or occupy in a pleasant manner; to stir with pleasing emotions.,I watch these movies because they amuse me.,verb,/əˈmjuːzd/,
amusing,মজাদার,To entertain or occupy in a pleasant manner; to stir with pleasing emotions.,I watch these movies because they amuse me.,verb,/əˈmjuːzɪŋ/,
an,একটি,One,,numeral,/æn/,
analysis,বিশ্লেষণ,"Decomposition into components in order to study (a complex thing, concept, theory etc.).",,noun,/əˈnælɪsɪs/,
analyze,বিশ্লেষণ,To subject to analysis.,,verb,/ˈæn.ə.laɪz/,
ancient,প্রাচীন,A person who is very old.,,noun,/ˈeɪn.ʃənt/,
and,এবং,"In rhythm, the second half of a divided beat.",,noun,,
anger,রাগ,"A strong feeling of displeasure, hostility or antagonism towards someone or something, usually combined with an urge to harm.",You need to control your anger.,noun,/ˈæŋɡə(ɹ)/,
angle,কোণ,A figure formed by two rays which start from a common point (a plane angle) or by three planes that intersect (a solid angle).,the angle between lines A and B,noun,/ˈæŋ.ɡəl/,
angry,রাগান্বিত,Displaying or feeling anger.,An angry mob started looting the warehouse.,adjective,/ˈæŋ.ɡɹi/,
animal,পশু,"In scientific usage, a multicellular organism that is usually mobile, whose cells are not encased in a rigid cell wall (distinguishing it from plants and fungi) and which derives energy solely from the consumption of other organisms (distinguishing it from plants).","A cat is an animal, not a plant. Humans are also animals, under the scientific definition, as we are not plants.",noun,/ˈænɪməl/,
ankle,গোড়ালি,"The skeletal joint which connects the foot with the leg; the uppermost portion of the foot and lowermost portion of the leg, which contain this skeletal joint.",,noun,/ˈæŋ.kəl/,
anniversary,বার্ষিকী,A day that is an exact number of years (to the day) since a given significant event occurred. Often preceded by an ordinal number indicating the number of years.,Today is the fiftieth anniversary of the end of the war.,noun,/ˌænɪˈvɜːs(ə)ɹi/,
announce,ঘোষণা,"To give public notice, especially for the first time; to make known",,verb,/əˈnaʊns/,
announcement,ঘোষণা,"An act of announcing, or giving notice.","He raised his hand to make his announcement and said ""Excuse me everyone, I have an announcement to make.",noun,/əˈnaʊns.mɛnt/,
annoy,বিরক্ত করা,A feeling of discomfort or vexation caused by what one dislikes.,,noun,/əˈnɔɪ/,
annoyed,বিরক্ত,"To disturb or irritate, especially by continued or repeated acts; to bother with unpleasant deeds.","Marc loved his sister, but when she annoyed him he wanted to switch her off.",verb,/əˈnɔɪd/,
annoying,বিরক্তিকর,"To disturb or irritate, especially by continued or repeated acts; to bother with unpleasant deeds.","Marc loved his sister, but when she annoyed him he wanted to switch her off.",verb,,
annual,বার্ষিক,"An annual publication; a book, periodical, journal, report, comic book, yearbook, etc., which is published serially once a year, which may or may not be in addition to regular weekly or monthly publication.","I read the magazine, but I usually don't purchase the annuals.",noun,/ˈæn.ju.əl/,
annually,বার্ষিক,"Once every year without fail, yearly",,adverb,/ˈæn.jʊə.li/,
another,অন্য,An additional one of the same kind.,There is one sterling and here is another,pronoun,,
answer,উত্তর,A response or reply; something said or done in reaction to a statement or question.,Her answer to his proposal was a slap in the face.,noun,/ˈan.sə/,
anti-,বিরোধী-,,,,,
anticipate,অনুমান করা,"To act before (someone), especially to prevent an action.",,verb,/ænˈtɪs.ɪ.peɪt/,
anxiety,উদ্বেগ,"An unpleasant state of mental uneasiness, nervousness, apprehension and obsession or concern about some uncertain event.",,noun,/ˌæŋ(ɡ)ˈzaɪ.ə.ti/,
anxious,উদ্বিগ্ন,Nervous and worried.,,adjective,/ˈaŋ(k)ʃəs/,
any,যেকোনো,"To even the slightest extent, at all.",I will not remain here any longer.,adverb,/ˈæni/,
anymore,আর,"(in negative or interrogative constructions) From a given time onwards; longer, again.",They don't make repairable radios any more.,adverb,/ˌæ.niˈmoːɹ/,
anyone,যে কেউ,Any person; anybody.,Almost anyone can change a light bulb.,pronoun,/ˈæniˌwʌn/,
anything,কিছু,Someone or something of importance.,,noun,/ˈɛ.nə.θɪŋ/,
anyway,যাইহোক,Regardless; anyhow.,"He didn't enjoy washing his car, but it was so dirty that he did it anyway.",adverb,/ˈɛniweɪ/,
anywhere,যে কোন জায়গায়,In or at any location or an unknown location.,I don't know where I left my keys. They could be anywhere.,adverb,/ˈɛn.iː.(h)wɛə(ɹ)/,
apart,আলাদা,"(Used after a noun or in the predicate) Exceptional, distinct.",a world apart,adjective,/əˈpɑː(ɹ)t/,
apart from,ছাড়াও,"Except for; besides, apart (postposition).",,preposition,,
apartment,অ্যাপার্টমেন্ট,"A complete domicile occupying only part of a building, especially one for rent; a flat.",,noun,/əˈpɑːt.mənt/,
apologize,ক্ষমাপ্রার্থী,"(often followed by “for”) To make an apology or excuse; to acknowledge some fault or offense, with expression of regret for it, by way of amends",My correspondent apologized for not answering my letter.,verb,/əˈpɒləd͡ʒaɪz/,
apparently,দৃশ্যত,Plainly; clearly; manifestly; evidently.,,adverb,/əˈpaɹəntli/,
appeal,আপিল,An application for the removal of a cause or suit from an inferior to a superior judge or court for re-examination or review.,,noun,/əˈpiːl/,
appear,প্রদর্শিত,To come or be in sight; to be in view; to become visible.,,verb,/əˈpiːɹ/,
appearance,চেহারা,The act of appearing or coming into sight; the act of becoming visible to the eye.,His sudden appearance surprised me.,noun,/əˈpɪəɹəns/,
apple,আপেল,"A common, round fruit produced by the tree Malus domestica, cultivated in temperate climates.",,noun,/ˈæp.əl/,
application,আবেদন,"The act of applying or laying on, in a literal sense",The application of this cream should reduce the swelling.,noun,/aplɪˈkeɪʃ(ə)n/,
apply,আবেদন,To lay or place; to put (one thing to another),to apply cream to a rash,verb,/əˈplaɪ/,
appoint,নিয়োগ,"To set, fix or determine (a time or place for something such as a meeting, or the meeting itself) by authority or agreement.",,verb,/əˈpɔɪnt/,
appointment,অ্যাপয়েন্টমেন্ট,The act of appointing a person to hold an office or to have a position of trust,His appointment was deemed suitable,noun,/əˈpɔɪnt.mɛnt/,
appreciate,প্রশংসা,To be grateful or thankful for.,I appreciate your efforts,verb,/əˈpɹiː.si.eɪt/,
approach,পন্থা,The act of drawing near; a coming or advancing near.,,noun,/əˈpɹəʊt͡ʃ/,
appropriate,উপযুক্ত,To make suitable; to suit.,,verb,,
approval,অনুমোদন,"An expression granting permission; an indication of agreement with a proposal; an acknowledgement that a person, thing or event meets requirements.",I need to get an approval on this purchase order.,noun,/əˈpɹuːvəl/,
approve,অনুমোদন,To sanction officially; to ratify; to confirm; to set as satisfactory.,"Although we may disagree with it, we must nevertheless approve the sentence handed down by the court-martial.",verb,/əˈpɹuːv/,
approving,অনুমোদন,To sanction officially; to ratify; to confirm; to set as satisfactory.,"Although we may disagree with it, we must nevertheless approve the sentence handed down by the court-martial.",verb,/ʌˈpɹuv.ɪŋ/,
approximate,আনুমানিক,To estimate.,,verb,,
approximately,প্রায়,Imprecise but close to in quantity or amount.,...approximately 60 beats per minute.,adverb,/əˈpɹɒk.sɪ.mət.li/,
area,এলাকা,A measure of the extent of a surface; it is measured in square units.,,noun,/ˈɛə̯ɹɪə̯/,
argue,তর্ক করা,"To show grounds for concluding (that); to indicate, imply.",,verb,/ˈɑː.ɡjuː/,
argument,যুক্তি,A fact or statement used to support a proposition; a reason.,,noun,/ˈɑːɡjʊmənt/,
arise,উঠা,To come up from a lower to a higher position.,to arise from a kneeling posture,verb,/əˈɹaɪz/,
arm,বাহু,"The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand.",She stood with her right arm extended and her palm forward to indicate “Stop!”,noun,/ɑːm/,
armed,সশস্ত্র,To take by the arm; to take up in one's arms.,,verb,/ɑːmd/,
arms,অস্ত্র,"The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand.",She stood with her right arm extended and her palm forward to indicate “Stop!”,noun,/ɑːmz/,
army,সেনাবাহিনী,"A large, highly organized military force, concerned mainly with ground (rather than air or naval) operations.",The army was sent in to quell the uprising.,noun,/ˈɑː.miː/,
around,চারপাশে,"(with the verb ""to be"") Present in the vicinity.",Is Clare around today?,adjective,/əˈɹaʊnd/,
arrange,ব্যবস্থা করা,To set up; to organize; to put into an orderly sequence or arrangement.,,verb,/əˈɹeɪndʒ/,
arrangement,ব্যবস্থা,The act of arranging.,,noun,/əˈɹeɪnd͡ʒmənt/,
arrest,গ্রেফতার,"A check, stop, an act or instance of arresting something.",,noun,/əˈɹɛst/,
arrival,আগমন,The act of arriving or something that has arrived.,The early arrival of the bride created a stir.,noun,/əˈɹaɪ.vəl/,
arrive,পৌঁছা,To reach; to get to a certain place.,He arrived home for two days.,verb,/əˈɹaɪv/,
arrow,তীর,"A projectile consisting of a shaft, a point and a tail with stabilizing fins that is shot from a bow.",,noun,/ˈæɹ.əʊ/,
art,শিল্প,"The conscious production or arrangement of sounds, colours, forms, movements, or other elements in a manner that affects the senses and emotions, usually specifically the production of the beautiful in a graphic or plastic medium.",There is a debate as to whether graffiti is art or vandalism.,noun,/ɑːt/,
article,নিবন্ধ,"A piece of nonfictional writing such as a story, report, opinion piece, or entry in a newspaper, magazine, journal, dictionary, encyclopedia, etc.",,noun,/ˈɑːtɪkəl/,
artificial,কৃত্রিম,Man-made; of artifice.,"The flowers were artificial, and he thought them rather tacky.",adjective,/ɑː(ɹ)təˈfɪʃəl/,
artist,শিল্পী,A person who creates art.,,noun,/ˈɑːtɪst/,
artistic,শৈল্পিক,Having or revealing creative skill.,,adjective,/ɑːˈtɪstɪk/,
as,হিসাবে,To such an extent or degree; to the same extent or degree.,"It's not as well made, but it's twice as expensive.",adverb,,
ashamed,লজ্জিত,To feel shame; to be ashamed.,,verb,/əˈʃeɪmd/,
aside,একপাশে,An incidental remark made quietly so as to be heard by the person to whom it is said and not by any others in the vicinity.,,noun,/əˈsaɪd/,
aside from,একপাশে থেকে,Excluding; with the exception of,,preposition,,
ask,জিজ্ঞাসা,An act or instance of asking.,,noun,/ˈask/,
asleep,ঘুমন্ত,"In a state of sleep; also, broadly, resting.",I was asleep when you called.,adjective,/əˈsliːp/,
aspect,দৃষ্টিভঙ্গি,"Any specific feature, part, or element of something.",Japan's aging population is an important aspect of its economy.,noun,/ˈæspɛkt/,
assist,সাহায্য,A helpful action or an act of giving.,The foundation gave a much needed assist to the shelter.,noun,/əˈsɪst/,
assistance,সাহায্য,Aid; help; the act or result of assisting.,,noun,/əˈsɪs.təns/,
assistant,সহকারী,"Someone who is present; a bystander, a witness.",,noun,/əˈsɪstənt/,
associate,সহযোগী,"A person united with another or others in an act, enterprise, or business; a partner.",,noun,/əˈsəʊsi.ət/,
association,সমিতি,The act of associating.,,noun,/əˌsəʊsiˈeɪʃən/,
assume,অনুমান,"To authenticate by means of belief; to surmise; to suppose to be true, especially without proof","We assume that, as her parents were dentists, she knows quite a bit about dentistry.",verb,/əˈsuːm/,
assure,নিশ্চিত করা,To make sure and secure.,,verb,/əˈʃɔː/,
at,এ,"To reply to or talk to someone, either online or face-to-face. (from the practice of targeting a message or reply to someone online by writing @name)",Cars 2 is the most influential film of all time. Don't @ me.,verb,,
atmosphere,বায়ুমণ্ডল,The gases surrounding the Earth or any astronomical body.,,noun,/ˈæt.məsˌfɪə(ɹ)/,
atom,পরমাণু,"The smallest possible amount of matter which still retains its identity as a chemical element, now known to consist of a nucleus surrounded by electrons.",,noun,/ˈatəm/,
